"Vertical";"SubTipo";"Marca";"Nombre"
"Hogar";"Salud y medición";"San-Up";"Balanza Digital San Up Medivita Bluetooth App Análisis Corporal Negro"
"Hogar";"Salud y medición";"San-Up";"Termómetro Digital San-up Su-ter403 Transparente Resistente Transparente"
"Hogar";"Salud y medición";"San-Up";"Oxímetro De Dedo San-up Su-oxi801n Negro Led Aaa Negro"
"Hogar";"Salud y medición";"San-Up";"Tensiómetro Digital San-up Su-ted201 Blanco 240 Memorias Blanco"
"Hogar";"Salud y medición";"San-Up";"Tensiómetro Digital De Brazo San Up Batería Medipress Plus Blanco"
"Hogar";"Salud y medición";"San-Up";"Tensiómetro Digital San-up Su-teb401 Blanco Muñeca Blanco"
"Hogar";"Salud y medición";"San-Up";"Nebulizador San-up Su-nep603 Blanco 8ml Con Accesorios Blanco"
"Hogar";"Salud y medición";"San-Up";"Nebulizador A Pistón San-up Airstream 8ml Blanco Con Accesorios"
"Suplementos";"Creatinas";"Ena Sport";"Creatina Monohidrato Ena Sport X 75grs Monodosis 15 Sobres Sin Sabor Sin Gluten"
"Suplementos";"Vitaminas y Salud";"Ena Sport";"Trans Resverastrol Ena Sport X 60 Capsulas Antioxidante Con Vitamina C Y E Sin Sabor"
"Suplementos";"Creatinas";"Ena Sport";"Creatina Monohidrato 150g Ena Sport Sin Sabor 2X1!!!!!"
"Supermercado";"Snacks";"Integra";"Barras Proteica Pasta de Maní Y Arándanos Caja 10u 2x1!!!!"
"Supermercado";"Snacks";"Integra";"Granola Almendras Cajú Y Arándanos Integra 1 Kg 2X1!!!!!"
"Suplementos";"Creatinas";"Full Power";"Creatina Monohidratada Sin Sabor Full Power 300g Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Gold Nutrition";"Nad Nicotinamida Adenina Dinucleótido Gold Nutrition X 30 Caps Energia Sin Sabor"
"Suplementos";"Vitaminas y Salud";"Gold Nutrition";"Glicinato De Magnesio 60 Cápsulas Gold Nutrition Sin Sabor"
"Suplementos";"Creatinas";"Gold Nutrition";"Creatina Monohidrato Gold Nutrition 1kg Neutro Sin Sabor"
"Supermercado";"Cuidado personal";"Sudanta";"Pasta Dental Gel Sudanta Encías Sanas Hinojo Y Menta 50g 3x1!!"
"Supermercado";"Cuidado personal";"Sri Sri Tattva";"Sri Sri Tattva Crema Facial Rejuvenecedora De Noche 100g 3X1!!!"
"Supermercado";"Almacén";"Sri Sri Tattva";"Aceite Ayurvédico Para Bebés 100ml - Coco Y Sésamo - Sri Sri 3x1!!!"
"Supermercado";"Otros alimentos";"Sri Sri Tattva";"Mascarilla Facial Cúrcuma De La India Sri Sri Tattva X 100g 3X1!!!"
"Supermercado";"Cuidado personal";"Sri Sri";"Pasta Dental Sudanta Sri Sri Natural Vegan Libre Fluor 50gr 3X1!!!"
"Suplementos";"Proteinas";"Optimum Nutrition";"Optimum Nutrition Whey Gourmet Proteína 900g Chocolate Malt Chocolate"
"Suplementos";"Proteinas";"Optimum Nutrition";"Whey Gourmet Series 25 Serv Optimum Nutrition Sabor White Chocolate"
"Suplementos";"Proteinas";"Optimum Nutrition";"Whey Protein 100% Gourmet 900g Optimum Nutrition Vainilla"
"Hogar";"Otros hogar";"Kanji";"Proyector Kanji Kj-814 1600lm Blanco"
"Supermercado";"Otros alimentos";"Nonisec";"Apósito Incontinencia Moderada Nonisec X 20 Unidades"
"Supermercado";"Otros alimentos";"Nonisec";"Nonisec Apósitos Para Incontinencia Fuerte X 20 Unidades"
"Suplementos";"Proteinas";"Ena";"Whey Protein 900g Pura 80% Pack Ena Sabor Frutilla 900g Frutilla"
"Suplementos";"Proteinas";"Bsn";"Suplemento En Polvo Bsn Edge Proteínas Sabor Strawberry Milkshake X 1.82kg"
"Suplementos";"Proteinas";"Bsn";"Syntha 6 Edge 4 Lbs Bsn Pura Proteína Aislada Isolate Usa Sabor Vainilla"
"Suplementos";"Proteinas";"Bsn";"Suplemento En Polvo Bsn Edge Proteínas Sabor Chocolate Milkshake 4lb"
"Suplementos";"Proteinas";"Bsn";"Suplemento En Polvo Bsn Edge Proteínas De Syntha-6 Sabor Cookies & Cream X 2.42LB"
"Suplementos";"Proteinas";"Bsn";"Suplemento En Polvo Bsn Edge Proteínas Sabor Cookies & Cream X 4LB"
"Hogar";"Otros hogar";"Kanji";"Lavarropa Kanji Home 6kg Inverter Kjh-wmcfwt Blanco Color Blanco"
"Hogar";"Otros hogar";"Kanji";"Heladera Kanjihome Multi Door 380l Gris No Frost Gris"
"Hogar";"Climatización";"Kanji";"Caloventor Kanji Home Kjh-ch103 2000w Con Termostato Color Naranja Naranja Claro"
"Hogar";"Limpieza y cuidado";"Kanji";"Plancha Kanji 2200w A Vapor Base Ceramica Kjh-pl2403 Verde Claro"
"Hogar";"Limpieza y cuidado";"Kanji";"Plancha Kanji Home Kjhpls1002 1000w Base De Acero Inox Blanco"
"Hogar";"Cocina eléctrica";"Kanji";"Pava Jarra Electrica Kanji Home Kjh-pe15001s De 1.8l 1500w Plateado"
"Hogar";"Cocina eléctrica";"Kanji";"Cafetera Multicapsula Kanjihome Kanji Beige Kjh-cm1500dc01 Beige"
"Hogar";"Cocina eléctrica";"Kanji";"Cafetera Kanji Home Kjh-cm1500nc02 Negra Multicapsula Negro"
"Hogar";"Cocina eléctrica";"Kanji";"Pava Eléctrica Matera Kanji Home Kjh-pe15002m 1500w 1.8 Mate"
"Hogar";"Otros hogar";"Kanji";"Secadora Por Calor Kanjihome 4kg Kjh-drymchwt"
"Hogar";"Cocina eléctrica";"Kanji";"Cafetera Multicapsula Kanjihome Roja Cm1500nc01 19bares Rojo"
"Hogar";"Limpieza y cuidado";"Kanji";"Lavasecarropas Semiautomático Kanji Twin Lava & Seca 5kg Con Bomba De Extracción Xpb55-655sp Blanco"
"Hogar";"Otros hogar";"Kanji";"Freezer De Pozo Tfk-fp50 50 Litros Telefunken Color Blanco"
"Supermercado";"Otros alimentos";"SriSri";"Repelente Natural Mosquitos Insectos Sri Sri Tattva Repelente Natural X150ml 5x1!!!"
"Supermercado";"Otros alimentos";"Dicomere";"Harina De Algarroba Dicomere X200gr Sin Tacc 4X1!!"
"Supermercado";"Almacén";"Dicomere";"Azucar Rubia Organica Dicomere Gmo Free 100% Natural x 1kg Sin Tacc 4X1!!"
"Supermercado";"Otros alimentos";"Dicomere";"Harina De Trigo Integral Orgánica Dicomere 4x1!!"
"Supermercado";"Otros alimentos";"Dicomere";"Harina De Coco Dicomere 200g 4x1!!!"
"Bananero";"El Bananero";"Japi";"Salsa Picante El Bananero Terapia Picante 270ml"
"Bodega";"Bodega";"Fuego Blanco";"Vino Fuego Blanco Valle Del Silex Malbec 750ml"
"Supermercado";"Otros alimentos";"Margarita";"Espumante Margarita Para Los Chanchos Malbec Rose Nat X3 Bot"
"Bodega";"Bodega";"Malcriado";"Vino Malcriado Mosquita Muerta Wines Caja X3 750ml"
"Bodega";"Bodega";"Fuego Blanco";"Vino Fuego Blanco Cabernet Franc-malbec 750 Ml"
