"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
granger-pancake-proteico-300g-jalapeno-y-limon-1evsz;"Granger Pancake Proteico 300g Jalapeño Y Limón";"Suplementos > Snacks proteicos";;;;;;;100,000.00;;0.00;0.00;0.00;0.00;28;"GRANGER0 PANCAKES PROTEICOS JALAPEÑO";;SI;NO;;;;;Array;SI;;;;8,612.00
granger-pancake-proteico-300g-dulce-de-leche-c7qzf;"Granger Pancake Proteico 300g Dulce De Leche";"Suplementos > Snacks proteicos";;;;;;;100,000.00;;0.00;0.00;0.00;0.00;140;"GRANGER0 PANCAKES PROTEICOS DDL";;SI;NO;;;;;Array;SI;;;;
l-teanina-labs-nutrition-estres-insomnio-60-capsulas-sin-sabor-nzxx3;"L-teanina Labs Nutrition, Estrés, Insomnio (60 Capsulas) Sin Sabor";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;21,680.00;20,596.00;0.06;0.00;0.00;0.00;43;"LABS0 L-TEANINA 60C";;SI;NO;;"Antioxidante, Bienestar, Capsulas, Cognitivo, Labs";"L-teanina Labs Nutrition 60 cápsulas antiestrés sin sabor";"L-teanina para estrés, insomnio y antioxidante. Mejora el sueño, calma la mente y protege células. Probá bienestar, ¡comprá ahora!";"Labs Nutrition";SI;;;;12,482.00
glutation-x-60-capsulas-labs-nutrition-sabor-sin-sabor-sin-sabor-1ditb;"Glutation X 60 Cápsulas Labs Nutrition Sabor Sin Sabor Sin Sabor";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;25,163.00;23,904.00;0.06;0.00;0.00;0.00;16;"LABS0 GLUTATION 60C";;SI;NO;;"Antioxidante, Bienestar, Labs, SinGluten, Vegana";"Glutation X 60 cápsulas antioxidante Labs Nutrition sin sabor";"Potente antioxidante vegano, sin gluten ni sabor. Glutation X Labs Nutrition apoya sistema inmune y bienestar. ¡Inclúyelo en tu rutina diaria!";"Labs Nutrition";SI;;;;14,487.00
creatina-monohidrato-labs-nutrition-90-capsulas-sin-sabor-6dguk;"Creatina Monohidrato Labs Nutrition 90 Capsulas Sin Sabor";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition, Suplementos > Creatinas";;;;;;;13,844.00;13,151.00;0.06;0.00;0.00;0.00;86;"LABS0 CREATINA 90C";;SI;NO;;"Capsulas, Cognitivo, Creatina, Labs, Recuperacion";"Creatina Monohidrato Labs Nutrition 90 cápsulas sin sabor";"Mejora tu rendimiento físico y cognitivo con creatina Labs Nutrition. Aumenta energía, músculo y recuperación. ¡Potenciá tus entrenamientos ahora!";Array;SI;;;;7,970.00
whey-protein-labs-nutrition-1kg-polvo-sabor-americana-americana-1b8fg;"Whey Protein Labs Nutrition 1kg Polvo Sabor Americana Americana";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition, Suplementos > Proteínas";;;;;;;52,151.00;49,543.00;1.00;0.00;0.00;0.00;16;"LABS0 PROTE 1KG AMERICANA";;SI;NO;;"Labs, Proteina, Recuperacion, Suplemento, Whey";"Whey Protein Labs Nutrition 1kg Polvo Sabor Americana";"Suplemento de proteína de suero 80%, ideal para músculo y recuperación. Sabor Americana. ¡Potenciá tu entrenamiento con Labs Nutrition!";"Labs Nutrition";SI;;;;30,026.00
whey-protein-labs-nutrition-1kg-polvo-chocolate-80-chocolate-x9ida;"Whey Protein Labs Nutrition 1kg Polvo Chocolate 80% Chocolate";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition, Suplementos > Proteínas";;;;;;;52,151.00;49,543.00;1.00;0.00;0.00;0.00;15;"LABS0 PROTE 1KG CHOCOLATE";;SI;NO;;"Chocolate, Labs, Proteina, Suplemento, Whey";"Whey Protein Labs Nutrition 1kg Chocolate 80% proteína";"Disfrutá Whey Protein Labs Nutrition: 1kg, 80% proteína y sabor chocolate. Ideal para recuperación muscular. ¡Mejorá tu entrenamiento hoy!";"Labs Nutrition";SI;;;;30,026.00
whey-protein-1-kg-labs-nutrition-proteina-de-suero-80-frambuesa-1plyc;"Whey Protein 1 Kg Labs Nutrition - Proteina De Suero 80% Frambuesa";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition, Suplementos > Proteínas";;;;;;;74,876.00;49,543.00;1.00;0.00;0.00;0.00;15;"LABS0 PROTE 1KG FRAMBUESA";;SI;NO;;"Frambuesa, Labs, Proteina, Suplemento, Whey";"Whey Protein 1Kg Labs Nutrition frambuesa 80% proteína";"Aumentá tu masa muscular con Whey Protein Labs Nutrition 80% frambuesa. Recuperate más rápido y disfrutá su sabor. ¡Probalo ahora!";"Labs Nutrition";SI;;;;30,026.00
treonato-de-magnesio-labs-nutrition-comprimidos-sin-sabor-60-unidades-vegano-pastillero-legend-nutrition-yu39z;"Treonato De Magnesio Labs Nutrition Comprimidos Sin Sabor 60 Unidades Vegano + Pastillero Legend Nutrition";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;24,876.00;16,929.00;0.06;0.00;0.00;0.00;1;"LABS0 1 TREONATO DE MAG 1 PASTI LEG";;SI;NO;;"Comprimidos, Labs, Magnesio, Pastillero, Vegana";"Treonato de Magnesio sin sabor vegano + pastillero 60u";"Mejorá tu bienestar con Treonato de Magnesio vegano Labs Nutrition. 60 comprimidos, sin sabor, incluye pastillero. ¡Sentite mejor cada día!";"Labs Nutrition";SI;;;;10,259.35
vitaminas-d3-k2-labs-nutrition-60-capsulas-veganas-colecalciferol-sin-sabor-pastillero-legend-nutrition-6iwr0;"Vitaminas D3 K2 Labs Nutrition 60 Cápsulas Veganas Colecalciferol Sin Sabor + Pastillero Legend Nutrition";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;16,080.00;15,276.00;0.06;0.00;0.00;0.00;0;"LABS0 1 VIT D3K2 60C 1 PASTI LEG";;SI;NO;;"Capsulas, Cognitivo, SinSabor, Suplemento, Vegana";"Vitaminas D3 K2 Labs Nutrition 60 Cápsulas Veganas Sin Sabor";"Mejora tu salud ósea e inmunidad con Vitaminas D3 K2 Labs Nutrition. 60 cápsulas veganas y pastillero. ¡Sentite mejor cada día!";"Labs Nutrition";SI;;;;9,258.00
